"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4321","checkDbStatus()","","Mon May 12 18:27:36 BST 2025","passed","Mon May 12 18:27:41 BST 2025","","smoke.healthCheck","smoke.healthCheck","checkDbStatus"
"","53138","testSellProducttest()","","Mon May 12 19:42:02 BST 2025","passed","Mon May 12 19:42:55 BST 2025","","regression.ShopInventoryApiTest","regression.ShopInventoryApiTest","testSellProducttest"
"","2110","testAuthTokenResponse","","Mon May 12 19:52:58 BST 2025","passed","Mon May 12 19:53:00 BST 2025","","regression.ShopInventoryApiTest","regression.ShopInventoryApiTest","testAuthTokenResponse"
"","49337","testSellProduct()","","Mon May 12 19:51:57 BST 2025","passed","Mon May 12 19:52:47 BST 2025","","regression.ShopInventoryApiTest","regression.ShopInventoryApiTest","testSellProduct"
"","2709","testDeleteProduct","","Mon May 12 19:52:55 BST 2025","passed","Mon May 12 19:52:58 BST 2025","","regression.ShopInventoryApiTest","regression.ShopInventoryApiTest","testDeleteProduct"
"","6025","testUpdateProduct","","Mon May 12 19:52:47 BST 2025","passed","Mon May 12 19:52:53 BST 2025","","regression.ShopInventoryApiTest","regression.ShopInventoryApiTest","testUpdateProduct"
"","2934","testRetrieveStockDetailsOfProduct","","Mon May 12 19:51:54 BST 2025","passed","Mon May 12 19:51:57 BST 2025","","regression.ShopInventoryApiTest","regression.ShopInventoryApiTest","testRetrieveStockDetailsOfProduct"
"","9946","testBuysProduct","","Mon May 12 19:51:44 BST 2025","passed","Mon May 12 19:51:54 BST 2025","","regression.ShopInventoryApiTest","regression.ShopInventoryApiTest","testBuysProduct"
"","2646","testAddProduct","","Mon May 12 19:52:53 BST 2025","passed","Mon May 12 19:52:55 BST 2025","","regression.ShopInventoryApiTest","regression.ShopInventoryApiTest","testAddProduct"
"","4645","checkDbStatus()","","Mon May 12 18:37:49 BST 2025","passed","Mon May 12 18:37:54 BST 2025","","smoke.HealthCheckTest","smoke.HealthCheckTest","checkDbStatus"
